order #,fset #,eset #,gon-f-e,region,sub region,country,lct,segment,sub segment,modality,mct - explore,customer,psi description,psi group,fset main mor,fset value,order init date,aosd,cosd,sosd,rsdd,asdd,missing asdd,fpd,asds,myor shortage,billing terms,aicd,hfs credit status,hfs credit approved date,taskray cosd,modified cosd,ls,ld,lm,eset main mor,inco terms,pjm,eom order status,pmi/owner,customer class,procure date,cdo date,rsds,po/ir,credit status,credit override date,credit approved date,inst,fulfilment model,shippable item flag,eset creation date,customer class new,lead_time_from_ecd_to_cosd,lead_time_from_ecd_to_aosd,lead_time_from_ecd_to_asdd,lead_time_from_ecd_to_asds,lead_time_from_ecd_to_procure_date,modality encoded,country encoded,customer class new encoded,cosd duplicate,aosd duplicate,predicted cosd,confidence interval lower,confidence interval upper,cosd vs aosd (days),outlier,cosd prediction
5393354,1,1,5393354-1-1,Intercontinental,Korea,Korea,Korea,Imaging,CT,CT,Korea HQ,Medi Health Inc,Revo Maxima 72kW Mid  BHW ,Revolution Maxima 72kW BHW,264942,270918,2023-12-26,2024-04-26,2024-04-30,2024-04-30,2024-04-30,2024-04-26,Fully Shipped,2024-04-12,2024-04-03,No,00_00_00_00_00_00_100,2024-04-30,Not Approved,,,,22,2,42,264942,CUSTOMER SITE,"Kwak, Min-Gyung",Procured Not Cancelled,HOO HWANG,EXTERNAL-PVT_KOREA,2023-12-26,2023-12-26,2024-04-19,2024-04-24,Credit Approved,,2023-12-26,5393354-CP20-메디헬스-순천한국병원-Revolution Maxima-INST-0390848,STD,Yes,2023-12-26,Direct Public,126,122.0,122.0,99.0,0,3,48,1,2024-04-30,2024-04-26,2024-04-29,2024-04-27,2024-05-01,-3.0,No,1. Within 7 Days
5285131,1,1,5285131-1-1,EMEA,FBFA,France,France,Imaging,CT,CT,France South,IMSET,Maxima 1.5 55kW Long BHW,Revolution Maxima BHW,402331,399166,2023-02-24,2023-09-15,2023-09-11,2023-10-07,2023-09-07,2023-09-12,Fully Shipped,,2023-09-01,No,00_00_00_00_00_00_100,2023-09-15,Not Approved,,,,32,4,42,372671,CIF,"OUIN OURO, Deborah",Procured Not Cancelled,Caroline Roussel,GBL-PRIVATE,2023-02-24,2023-07-31,2023-09-01,2023-09-08,Credit Approved,2023-02-24,2023-07-28,5285131-IMSET CLINIQUE MONIE-Revolution Maxima-INST-98721,CDO-EOM-IRISO,Yes,2023-02-23,Direct Private,200,204.0,201.0,190.0,1,3,28,0,2023-09-11,2023-09-15,2023-09-14,2023-08-22,2023-10-08,1.0,No,1. Within 7 Days
5317224,1,1,5317224-1-1,Intercontinental,ASEAN,Indonesia,Indonesia,Imaging,CT,CT,Indonesia,PT. PROTEINDO KARYASEHAT,Rev ACT BJ 21 IW BHW,Revolution ACT BHW,146464,196766,2023-05-31,2023-09-19,2023-09-18,2023-09-30,2023-09-15,2023-09-18,Fully Shipped,2023-09-11,2023-09-11,No,20_00_00_80D_00_00_00,2023-11-13,Not Approved,,,,35,3,30,146464,DDP - PREPAY AND ADD,"Wirasari, Ratih",Procured Not Cancelled,Bram Purwoko,EXTERNAL-PVT_SEA,2023-06-25,2023-07-05,2023-09-18,2023-09-19,Credit Approved,,2023-06-09,5317224-RS Mitra Keluarga Grand Wisa-Revolution ACT-INST-0349527,CDO-EOM-AFF,Yes,2023-05-30,Direct Public,111,112.0,111.0,104.0,26,3,38,1,2023-09-18,2023-09-19,2023-09-17,2023-09-14,2023-09-21,2.0,No,1. Within 7 Days
5432704,1,1,5432704-1-1,Intercontinental,South,Paraguay,CALA,Imaging,CT,CT,Paraguay,MARE PARAGUAY SA,Maxima Select55kW 1700V BHW,Revolution Maxima Select BHW,230629,241500,2024-04-19,2024-06-26,2024-07-31,2024-07-11,2024-06-19,2024-06-13,Fully Shipped,2024-06-19,2024-05-24,No,00_00_00_100_00_00_00,2024-09-06,Not Approved,,,2024-06-29,20,22,42,230630,CIP,"Bermudez, Gustavo Alfredo",Procured Not Cancelled,Fabian Freire,CALA - NET TO DISTRIBUTOR,2024-05-03,2024-05-03,2024-09-06,2024-06-10,Credit Approved,,2024-05-03,5432704-INERAM-RESCORP-Revolution Maxima-INST-0406558,CDO-SUPPLIER,Yes,2024-04-18,Indirect,104,69.0,56.0,36.0,15,3,68,2,2024-07-31,2024-06-26,2024-07-31,2024-07-31,2024-07-31,-35.0,No,4. Greater than 21 Days
5353519,1,2,5353519-1-2,EMEA,Southern Europe,Italy,IMI,Imaging,CT,CT,Italy South,ASL NAPOLI 3 SUD,EHL perpetual model_Ascend,Revolution Ascend 72kW BHW,375992,374500,2023-09-12,2023-12-05,2023-11-27,2023-11-23,2023-11-14,2023-11-22,Fully Shipped,2023-11-07,2023-10-26,No,00_00_00_00_00_00_100,2024-01-23,Not Approved,,,,18,6,30,78714,DAP,"Lojacono, Francesco Mario",Procured Not Cancelled,Fabrizio Moccia,GBL-PUBLIC,2023-10-17,2023-10-17,2024-06-23,2023-11-03,Credit Approved,2023-09-20,2023-10-17,5353519-A.S.L. Napoli 3 Sud-Revolution Ascend-INST-0375054,DISTRIB,Yes,2023-09-12,Direct Public,76,84.0,71.0,44.0,35,3,42,1,2023-11-27,2023-12-05,2023-12-02,2023-11-15,2023-12-18,3.0,No,1. Within 7 Days
5331058,1,1,5331058-1-1,EMEA,Southern Europe,Portugal,Iberia,Imaging,MR,MR,Portugal Camoes,"JOAO CARVALHO, S.A.",SilverPreferred MR,MR CPO ALL REGIONS,374239,380000,2023-06-30,2024-02-02,2024-02-02,2024-02-12,2024-02-01,2024-02-02,Fully Shipped,2024-02-02,2023-09-25,Yes,00_00_00_00_00_00_100,2024-02-02,Not Approved,,2024-01-31,,5,1,42,290565,DDP,"Salazar, Ana Maria",Procured Not Cancelled,Nuno Carreira,GBL-PRIVATE,2023-09-13,2023-11-27,2024-03-20,2023-10-09,Credit Approved,,2023-09-12,5331058-Joao Carvalho Lda-SIGNA Explorer 1.5T-INST-0339205,CDO-FAILURE - E,Yes,2023-06-29,Direct Private,218,218.0,218.0,88.0,76,9,71,0,2024-02-02,2024-02-02,2024-01-31,2024-01-16,2024-02-16,2.0,No,1. Within 7 Days
5448390,1,1,5448390-1-1,EMEA,Eastern Europe,Ukraine,Ukraine,Imaging,CT,CT,Ukraine,MINISTRY OF HEALTH OF UKRAINE,Maxima 1.5 55kW Long BHW,Revolution Maxima BHW,278636,330000,2024-06-07,2024-09-19,2024-09-23,2024-09-22,2024-09-07,2024-09-13,Fully Shipped,2024-09-02,2024-08-09,No,00_30_00_70D_00_00_00,2024-09-19,Not Approved,,,,32,14,60,251662,CIP,"Oliinyk, Oleksandra",Procured Not Cancelled,Togzhan Zhunisbek,CIS PUBLIC,2024-06-07,2024-07-08,2024-09-19,2024-09-05,Credit Approved,,2024-06-07,5448390-Children's Clinical Hospital-Revolution Maxima-INST-0407495,CDO-EOM-IRISO,Yes,2024-06-07,Direct Public,108,104.0,98.0,63.0,0,3,94,1,2024-09-23,2024-09-19,2024-09-22,2024-09-20,2024-09-24,-3.0,No,1. Within 7 Days
5321255,1,1,5321255-1-1,Intercontinental,ANZ,Australia,ANZ,Imaging,CT,CT,Australia NSW,ENDEAVOUR IMAGING SERVICES PTY LTD,Revo Ascend 72kW Long Hino,Revolution Ascend 72kW Hino,299376,384436,2023-06-13,2023-09-28,2023-09-30,2023-10-10,2023-09-18,2023-09-28,Fully Shipped,2023-08-29,2023-08-28,Yes,00_00_00_100D_00_00_00,2023-10-10,Not Approved,,,,55,2,30,263185,CIF,"Pancholi, Monalisa",Procured Not Cancelled,Mark Lucas,GBL-PRIVATE,2023-06-26,2023-06-26,2023-11-05,2023-09-07,Credit Approved,,2023-06-14,5321255-Spectrum Alexandria-Revolution Ascend-INST-0343927,CDO-EOM-IRISO,Yes,2023-06-09,Direct Private,113,111.0,111.0,80.0,17,3,4,0,2023-09-30,2023-09-28,2023-09-28,2023-09-12,2023-10-15,0.0,No,1. Within 7 Days
5270101,1,1,5270101-1-1,EMEA,FBFA,France,France,Imaging,CT,CT,France East,CLINIQUE VETERINAIRE DE L'ARC EN CIEL,Rev ACT BJ 21 IW BHW,Revolution ACT BHW,129742,155000,2023-01-19,2023-10-30,2023-10-30,2023-10-30,2023-10-26,2023-10-27,Fully Shipped,,2023-10-11,No,00_00_00_00_00_00_100,2023-10-30,Not Approved,,,,32,4,30,129742,CIF,"KOUBBI, AMANDINE",Procured Not Cancelled,Damien Klughertz,GBL-PRIVATE,2023-01-27,2023-05-24,2023-10-20,2023-10-20,Credit Approved,2023-01-23,2023-09-15,5270101-Clinique Vétérinaire de l'Ar-Revolution ACT-INST-0331201,CDO-EOM-AFF,Yes,2023-01-04,Direct Private,299,299.0,296.0,280.0,23,3,28,0,2023-10-30,2023-10-30,2023-10-29,2023-10-23,2023-11-04,1.0,No,1. Within 7 Days
5195528,1,1,5195528-1-1,EMEA,DACH,Switzerland,AT CH,Imaging,MR,MR,Switzerland,KANTONSSPITAL ST. GALLEN,3T SIGNA HERO ARES FLO DETACH,3T SIGNA HERO ARES FLO,1262838,1431286,2022-06-27,2023-06-29,2023-05-26,2023-08-04,2023-05-16,2023-06-27,Fully Shipped,2033-08-08,2023-05-26,Yes,00_00_00_00_50_00_50,2023-12-14,Not Approved,,,,18,4,42,1223760,CIP,"Germersdorf, Juliette",Procured Not Cancelled,Ayko Liebert,GBL-PUBLIC,2023-01-09,2023-04-24,2024-01-16,2023-06-09,Credit Approved,,2022-09-07,5195528-Kantonsspital St. Gallen-Signa HERO 3.0T-INST-0273050,CDO-EOM-IRISO,Yes,2022-06-20,Direct Public,340,374.0,372.0,340.0,203,9,86,1,2023-05-26,2023-06-29,2023-05-27,2023-05-15,2023-06-08,33.0,No,4. Greater than 21 Days
5352942,1,1,5352942-1-1,Intercontinental,ANZ,Australia,ANZ,Imaging,CT,CT,Australia NSW,BLOCK IMAGING INTERNATIONAL INC,CT GOLDSEAL AS IS NO I & W,CT MEE ALL REGIONS,45075,45303,2023-09-12,2024-01-18,2024-01-31,2024-01-31,2024-01-15,2024-01-18,Fully Shipped,,,No,00_00_00_100D_00_00_00,2024-01-18,Not Approved,,,,21,16,1,45075,CIF,"Abbaticchio, Leoni Catharina",Procured Not Cancelled,,GBL-PRIVATE,2023-12-19,,2023-09-12,,Credit Approved,,2023-12-19,,STD,Yes,2023-09-11,Direct Private,142,129.0,129.0,,99,3,4,0,2024-01-31,2024-01-18,2024-01-17,2023-12-21,2024-02-13,1.0,No,1. Within 7 Days
5406898,1,1,5406898-1-1,EMEA,FBFA,France,France,Imaging,MR,MR,France DROM COM,MEDICARAIBES S.A.,1.5T SIGNA EXPL FIXED SL FLO,1.5T SIGNA EXPLORER W US,488849,551518,2024-02-02,2024-06-01,2024-05-06,2024-05-26,2024-04-23,2024-05-15,Fully Shipped,2024-04-15,2024-04-10,Yes,00_00_00_00_00_00_100,2024-06-01,Not Approved,,,2024-06-01,20,6,42,462318,FCA,"RICHARD, Maiwenn",Procured Not Cancelled,Thomas REMY,VIP-PARTNER PRIVATE,2024-03-06,2024-03-06,2024-06-11,2024-04-23,Credit Approved,,2024-02-13,5406898-Medicaraibes Martinique Dr M-SIGNA Explorer 1.5T-INST-0253446,STD,Yes,2024-02-02,Indirect,94,120.0,103.0,68.0,33,9,28,2,2024-05-06,2024-06-01,2024-05-11,2024-04-22,2024-05-31,21.0,No,3. Within 21 Days
5349909,1,1,5349909-1-1,Intercontinental,Andean,Ecuador,CALA,Imaging,MR,MR,Ecuador,"ORIMEC, ORIENTAL MEDICAL DEL ECUADOR C.A.",1.5T SIGNA CREATOR E SL FLO,1.5T SIGNA CREATOR E US PLUS - RFBM,507238,546000,2023-09-01,2024-02-16,2023-11-17,2023-11-17,2023-11-17,2024-02-16,Fully Shipped,2024-04-30,2024-01-30,Yes,00_00_00_100_00_00_00,2024-05-07,Not Approved,,,,0,22,42,507238,CIP,"Ayala, Claudia Elena",Procured Not Cancelled,Yeison Castaño Cubillos,CALA - NET TO DISTRIBUTOR,2023-09-15,2023-09-15,2024-04-30,2024-01-30,Credit Approved,,2023-09-14,5349909-CLINICA SAN ANTONIO DE PADUA-Signa Creator-E-INST-0356688,CDO-EOM-IRISO,Yes,2023-08-31,Indirect,78,169.0,169.0,152.0,15,9,24,2,2023-11-17,2024-02-16,2023-12-15,2023-09-25,2024-03-04,63.0,No,4. Greater than 21 Days
5300545,1,1,5300545-1-1,Intercontinental,Brazil,Brazil,Brazil,Imaging,CT,CT,Brazil SP,BIOLABOR LABORATORIO DE ANALISES CLINICAS LTDA,REVOLUTION ACT BJG SKD LMB BRZ,Revolution ACT BHW - SKD Brazil,104460,135593,2023-03-31,2023-05-12,2023-05-13,2023-05-13,2023-05-10,2023-05-10,Fully Shipped,,,No,00_00_00_100_00_00_00,2023-06-07,Not Approved,,,,120,2,30,104461,CIF,"Araujo, Camila Moura de",Procured Not Cancelled,Ronaldo Genaro,BRAZIL-PRIVATE,2023-05-10,,2023-06-16,,Credit Approved,,2023-04-05,5300545-Biolabor Labor Anal Clinicas-Revolution ACT-INST-0360438,STD,Yes,2023-03-31,Direct Private,43,42.0,40.0,,40,3,13,0,2023-05-13,2023-05-12,2023-05-13,2023-05-02,2023-05-23,-1.0,No,1. Within 7 Days
5361394,1,1,5361394-1-1,Intercontinental,India,India,India,Imaging,CT,CT,Tamil Nadu,DR V DINESHRAM,Rev ACT BJ 21 IW BHW,Revolution ACT BHW,118208,121323,2023-09-28,2024-01-08,2024-01-20,2024-01-20,2024-01-17,2024-01-05,Fully Shipped,2023-11-15,2023-11-16,No,00_00_00_100_00_00_00,2024-01-08,Not Approved,,,,10,3,30,118208,FOB,"S M, SIDDANAGOWDA",Procured Not Cancelled,Santhosh Periasamy,EXTERNAL-PVT_INDIA,2023-09-28,2023-10-10,2024-01-05,2024-01-02,Credit Approved,2023-09-28,2023-09-28,5361394-D Diagnostics-Revolution ACT-INST-0382731,STD,Yes,2023-09-28,Direct Public,114,102.0,99.0,49.0,0,3,37,1,2024-01-20,2024-01-08,2024-01-13,2023-12-25,2024-02-01,-5.0,No,1. Within 7 Days
5347087,1,2,5347087-1-2,EMEA,Southern Europe,Italy,IMI,Imaging,CT,AW,Italy Center,A.O.UNIV.PISANA,HP DL360 G10 Server Low Tier,Revolution Ascend 72kW BHW,387134,386000,2023-08-28,2024-04-23,2024-04-23,2024-04-23,2024-04-17,2024-04-17,Fully Shipped,2024-03-15,2024-03-14,No,00_00_00_00_00_00_100,2024-05-10,Not Approved,,,,4,6,14,93785,DAP,"Mecocci, Chiara",Procured Not Cancelled,Lorenzo Bocciardi,GBL-PUBLIC,2024-01-02,2024-01-02,2024-05-22,2024-03-19,Credit Approved,,2023-08-31,5347087-AOU Pisa Cisanello-Revolution Ascend-INST-0375276,CDO-EOM-IRISO,Yes,2023-08-23,Direct Public,244,244.0,238.0,204.0,132,1,42,1,2024-04-23,2024-04-23,2024-04-21,2024-04-10,2024-05-02,2.0,No,1. Within 7 Days
5381597,1,1,5381597-1-1,Intercontinental,Japan,Japan,Japan,Imaging,CT,CT,Kita Kanto,KK) Rise,Revo Maxima 33kW Mid Hino,Revolution Maxima Hino,124199,144997,2023-11-29,2024-02-09,2024-02-10,2024-02-10,2024-02-09,2024-02-08,Fully Shipped,2024-02-07,2024-02-05,No,00_00_00_00_00_00_100,2024-02-09,Not Approved,,,,2,2,42,124199,CIF,"Soga, Sayaka",Procured Not Cancelled,shinya ishikawa,GBL-PRIVATE,2023-11-30,2023-12-07,2024-02-07,2024-02-05,Credit Approved,,,5381597-医療法人刀陽会綿貫病院-Revolution Maxima-INST-0387978,CDO-EOM-AFF,Yes,2023-11-29,Direct Private,73,72.0,71.0,68.0,1,3,44,0,2024-02-10,2024-02-09,2024-02-09,2024-02-09,2024-02-10,0.0,No,1. Within 7 Days
5263279,1,1,5263279-1-1,EMEA,Northern Europe,Norway,Nordics and Netherlands,Imaging,CT,CT Digital,Norway,SYKEHUSET TELEMARK HF,CT SMARTSUBSCRIPTION NO SERVER,Revolution Apex Elite 160 CTM,1053853,1519959,2022-12-27,2023-08-10,2023-06-05,2023-06-05,2023-05-30,2023-07-27,Fully Shipped,2023-05-09,2023-05-05,No,00_00_00_00_00_80_20,2023-08-28,Not Approved,,,,18,6,1,0,DDP,"Ulfving, Anna",Procured Not Cancelled,,GBL-PUBLIC,2023-02-28,2023-04-11,2024-09-20,2023-05-08,Credit Approved,,2022-12-27,5263279-ST HF- Skien-IPM-INST-0370366,DISTRIB,Yes,2022-12-22,Direct Public,165,231.0,217.0,134.0,68,4,63,1,2023-06-05,2023-08-10,2023-06-23,2023-04-30,2023-08-16,48.0,No,4. Greater than 21 Days
5419973,1,1,5419973-1-1,Intercontinental,Mexico,Mexico,Mexico,Imaging,MR,MR,Mexico South,IMPULSO MEXICANO,1.5T SIGNA EXPL FIXED SL FLO,1.5T SIGNA EXPLORER W US,623486,900000,2024-03-19,2024-06-04,2024-06-03,2024-06-03,2024-05-27,2024-06-03,Fully Shipped,,2024-04-25,No,00_00_00_00_100_00_00,2024-06-04,Not Approved,,,,15,3,42,600681,DDP,"Garduño, Andrea Carolina",Procured Not Cancelled,Ramon Cervantes,MEXICO-PRIVATE,2024-04-02,2024-04-03,2024-09-18,2024-04-25,Credit Approved,,2024-04-01,5419973-Centro Médico ISSEMyM Ecatep-SIGNA Explorer 1.5T-INST-0399893,DCDO,Yes,2024-03-14,Direct Private,81,82.0,81.0,42.0,19,9,54,0,2024-06-03,2024-06-04,2024-05-27,2024-05-02,2024-06-21,8.0,No,2. Within 14 Days
